,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
2864,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,348.1045706,471.0093731,5.29,0.27,,DOI:10.1039/c1pp05123g,2865
2865,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,347.2945753,441.5011038,4.37,0.52,,DOI:10.1039/c1pp05123g,2866
2866,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOCC,344.1985337,442.4974556,4.4,0.6,,DOI:10.1039/c1pp05123g,2867
2867,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,350.5942573,517.4912026,4.3,0.11,,DOI:10.1039/c1pp05123g,2868
2868,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,c1ccccc1,349.8950315,420.5037635,2.97,0.76,,DOI:10.1039/c1pp05123g,2869
2869,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1,349.0035947,419.4630872,2.81,0.78,,DOI:10.1039/c1pp05123g,2870
2870,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,349.1985892,418.0077749,2.7,0.84,,DOI:10.1039/c1pp05123g,2871
2871,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOC(C)=O,345.697791,455.000455,4.68,0.39,,DOI:10.1039/c1pp05123g,2872
2872,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CN(C)C=O,352.0011264,515.995872,5.1,0.16,,DOI:10.1039/c1pp05123g,2873
2873,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CS(C)=O,354.4967918,526.0112566,4.74,0.15,,DOI:10.1039/c1pp05123g,2874
2874,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CO,346.5003465,403.5024008,1.26,0.81,,DOI:10.1039/c1pp05123g,2875
2875,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCO,346.5964231,402.9983074,1.35,0.98,,DOI:10.1039/c1pp05123g,2876
2876,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCO,345.9010723,399.5046143,1.29,0.99,,DOI:10.1039/c1pp05123g,2877
2877,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CO,344.4949704,396.4949843,1.29,1.0,,DOI:10.1039/c1pp05123g,2878
2878,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)O,343.9026068,396.9986899,1.3,1.0,,DOI:10.1039/c1pp05123g,2879
2879,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,342.7004798,388.5003885,1.25,1.0,,DOI:10.1039/c1pp05123g,2880
2880,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCO,345.6022119,397.9941097,1.32,1.0,,DOI:10.1039/c1pp05123g,2881
2881,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OC1CCCCC1,346.5003465,398.9945338,1.28,0.91,,DOI:10.1039/c1pp05123g,2882
2882,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCO,345.697791,396.4949843,1.296,1.0,,DOI:10.1039/c1pp05123g,2883
2883,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OCCO,351.9020305,408.496732,1.13,0.76,,DOI:10.1039/c1pp05123g,2884
2884,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,349.5037047,408.496732,1.32,0.99,,DOI:10.1039/c1pp05123g,2885
2885,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,NC=O,349.4060098,411.5056994,1.14,0.71,,DOI:10.1039/c1pp05123g,2886
2886,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)=O,343.1002539,394.4928794,1.26,1.0,,DOI:10.1039/c1pp05123g,2887
2887,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC#N,343.394801,395.50704,1.32,0.95,,DOI:10.1039/c1pp05123g,2888
2888,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,ClC(Cl)Cl,344.6018126,382.0001528,0.79,0.68,,DOI:10.1039/c1pp05123g,2889
2889,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,ClCCl,344.4949704,388.0029488,1.23,1.0,,DOI:10.1039/c1pp05123g,2890
2890,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCC,332.9005626,373.9995512,1.12,0.95,,DOI:10.1039/c1pp05123g,2891
2891,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCC(C)CC,333.000333,374.5037825,1.002,0.92,,DOI:10.1039/c1pp05123g,2892
2892,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCCCC1,335.0981838,377.0028275,1.02,1.0,,DOI:10.1039/c1pp05123g,2893
2893,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCC,333.6002135,374.9953126,1.04,0.93,,DOI:10.1039/c1pp05123g,2894
2894,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CC(C)(C)C,333.000333,374.9953126,1.02,0.95,,DOI:10.1039/c1pp05123g,2895
2895,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCC,334.8961822,375.9963904,1.08,1.0,,DOI:10.1039/c1pp05123g,2896
2896,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCCC,334.8961822,377.0028275,1.09,0.93,,DOI:10.1039/c1pp05123g,2897
2897,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,COCCOC,343.9026068,395.50704,0.88,0.7,,DOI:10.1039/c1pp05123g,2898
2898,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1COCCO1,340.7967829,377.0028275,1.21,1.0,,DOI:10.1039/c1pp05123g,2899
2899,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,341.7985439,391.4966919,1.21,0.88,,DOI:10.1039/c1pp05123g,2900
2900,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,338.9026333,384.4970778,1.15,1.0,,DOI:10.1039/c1pp05123g,2901
2901,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOCC,338.2034632,379.5066414,1.24,0.99,,DOI:10.1039/c1pp05123g,2902
2902,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)OC(C)C,339.5009336,387.5067814,1.2,1.0,,DOI:10.1039/c1pp05123g,2903
2903,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,345.1012872,404.0077569,1.41,1.0,,DOI:10.1039/c1pp05123g,2904
2904,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,c1ccccc1,342.9943406,375.5022342,1.08,0.97,,DOI:10.1039/c1pp05123g,2905
2905,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1,341.997264,374.5037825,1.04,0.9,,DOI:10.1039/c1pp05123g,2906
2906,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,341.4017958,372.9951511,1.07,0.99,,DOI:10.1039/c1pp05123g,2907
2907,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOC(C)=O,339.6969903,381.5046544,1.19,1.0,,DOI:10.1039/c1pp05123g,2908
2908,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CN(C)C=O,346.5003465,400.4966158,1.28,0.92,,DOI:10.1039/c1pp05123g,2909
2909,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CS(C)=O,348.5049139,408.496732,1.26,1.0,,DOI:10.1039/c1pp05123g,2910
2910,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CO,353.5067873,456.9966182,0.43,0.01,,DOI:10.1039/c1pp05123g,2911
2911,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCO,356.2014676,453.4941726,0.8,0.05,,DOI:10.1039/c1pp05123g,2912
2912,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCO,357.9226171,441.5011038,2.0,0.76,,DOI:10.1039/c1pp05123g,2913
2913,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CO,357.8969972,438.0009636,2.23,0.78,,DOI:10.1039/c1pp05123g,2914
2914,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)O,355.5049948,440.5092287,2.43,0.69,,DOI:10.1039/c1pp05123g,2915
2915,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,355.4039166,423.998304,2.89,0.61,,DOI:10.1039/c1pp05123g,2916
2916,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCO,359.1954023,429.000429,2.41,0.48,,DOI:10.1039/c1pp05123g,2917
2917,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,OC1CCCCC1,357.1045959,440.0052801,2.23,0.29,,DOI:10.1039/c1pp05123g,2918
2918,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCO,359.5053207,434.4992396,2.23,0.5,,DOI:10.1039/c1pp05123g,2919
2919,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,OCCO,357.8969972,443.0071324,2.95,0.03,,DOI:10.1039/c1pp05123g,2920
2920,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,355.7959155,438.0009636,0.54,0.09,,DOI:10.1039/c1pp05123g,2921
2921,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,NC=O,355.7959155,447.0072862,1.7,0.01,,DOI:10.1039/c1pp05123g,2922
2922,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)=O,348.5049139,439.5024832,2.96,0.62,,DOI:10.1039/c1pp05123g,2923
2923,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC#N,346.4043231,451.9978304,2.26,0.34,,DOI:10.1039/c1pp05123g,2924
2924,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,ClC(Cl)Cl,347.1981112,420.0092402,2.26,0.76,,DOI:10.1039/c1pp05123g,2925
2925,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,ClCCl,345.6022119,415.5067104,3.1,0.69,,DOI:10.1039/c1pp05123g,2926
2926,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCC,338.9026333,382.0001528,1.14,1.0,,DOI:10.1039/c1pp05123g,2927
2927,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCC(C)CC,339.3051031,382.9803531,1.03,1.0,,DOI:10.1039/c1pp05123g,2928
2928,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCCCC1,341.2037669,382.0001528,1.23,0.99,,DOI:10.1039/c1pp05123g,2929
2929,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCC,338.9026333,383.494401,1.02,1.0,,DOI:10.1039/c1pp05123g,2930
2930,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CC(C)(C)C,338.9026333,383.9950849,1.01,1.0,,DOI:10.1039/c1pp05123g,2931
2931,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCC,340.2981011,384.4970778,1.06,0.98,,DOI:10.1039/c1pp05123g,2932
2932,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCCC,339.99728,385.000385,1.09,1.0,,DOI:10.1039/c1pp05123g,2933
2933,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,COCCOC,351.9020305,440.0052801,0.9,0.08,,DOI:10.1039/c1pp05123g,2934
2934,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,C1COCCO1,347.3548925,410.5090312,1.83,1.0,,DOI:10.1039/c1pp05123g,2935
2935,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,350.9018177,419.0061175,2.68,0.62,,DOI:10.1039/c1pp05123g,2936
2936,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,348.1045706,425.0074376,2.75,0.55,,DOI:10.1039/c1pp05123g,2937
2937,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOCC,346.4043231,409.5004095,2.27,0.67,,DOI:10.1039/c1pp05123g,2938
2938,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)OC(C)C,350.0052501,426.0032376,2.48,0.69,,DOI:10.1039/c1pp05123g,2939
2939,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,353.8946102,457.4983988,1.98,0.31,,DOI:10.1039/c1pp05123g,2940
2940,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,c1ccccc1,346.8970063,398.5016339,1.42,0.95,,DOI:10.1039/c1pp05123g,2941
2941,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1,346.5964231,401.493556,1.364,0.85,,DOI:10.1039/c1pp05123g,2942
2942,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,346.4043231,401.493556,1.35,0.92,,DOI:10.1039/c1pp05123g,2943
2943,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOC(C)=O,346.5964231,411.9973632,2.46,0.71,,DOI:10.1039/c1pp05123g,2944
2944,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CN(C)C=O,354.195445,447.5073839,2.45,0.62,,DOI:10.1039/c1pp05123g,2945
2945,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CS(C)=O,357.8969972,459.495474,1.92,0.41,,DOI:10.1039/c1pp05123g,2946
2946,C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1,CC1CCCCC1,385.0,468.0,3.6,0.46,,DOI: 10.1039/b204780m,2947
2947,C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1,CC#N,385.0,476.0,4.2,0.45,,DOI: 10.1039/b204780m,2948
2948,C(=C/c1c2ccccc2cc2ccccc12)\c1cccc2ccccc12,CC1CCCCC1,386.0,501.0,5.0,0.43,,DOI: 10.1039/b204780m,2949
2949,C(=C/c1c2ccccc2cc2ccccc12)\c1cccc2ccccc12,CC#N,386.0,503.0,4.5,0.35,,DOI: 10.1039/b204780m,2950
2950,C(=C/c1ccnc2ccccc12)\c1c2ccccc2cc2ccccc12,CC1CCCCC1,387.0,498.0,2.6,0.36,,DOI: 10.1039/b204780m,2951
2951,C(=C/c1ccnc2ccccc12)\c1c2ccccc2cc2ccccc12,CC#N,387.0,530.0,0.088,0.006,,DOI: 10.1039/b204780m,2952
2952,C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2c1,CC1CCCCC1,386.0,488.0,3.3,0.72,,DOI: 10.1039/b204780m,2953
2953,C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2c1,CC#N,387.0,490.0,3.6,0.68,,DOI: 10.1039/b204780m,2954
2954,C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2n1,CC1CCCCC1,390.0,492.0,3.4,0.41,,DOI: 10.1039/b204780m,2955
2955,C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2n1,CC#N,390.0,510.0,0.33,0.04,,DOI: 10.1039/b204780m,2956
2956,C(=C/c1c2ccccc2cc2ccccc12)\c1cnc2ccccc2c1,CC1CCCCC1,386.0,488.0,3.2,0.7,,DOI: 10.1039/b204780m,2957
2957,C(=C/c1c2ccccc2cc2ccccc12)\c1cnc2ccccc2c1,CC#N,386.0,494.0,3.0,0.58,,DOI: 10.1039/b204780m,2958
2958,O=C1c2ccccc2-c2ccccc21,C1CCCCC1,382.0,463.0,0.4,0.0004,,DOI: 10.1039/c4cp01724b,2959
2959,O=C1c2ccccc2-c2ccccc21,CC#N,377.0,507.0,17.8,0.027,,DOI: 10.1039/c4cp01724b,2960
2960,O=C1c2ccccc2-c2ccccc21,CCO,379.0,553.0,1.9,0.0009,,DOI: 10.1039/c4cp01724b,2961
2961,COc1ccc2c(c1)C(=O)c1ccccc1-2,C1CCCCC1,421.0,518.0,9.9,0.034,,DOI: 10.1039/c4cp01724b,2962
2962,COc1ccc2c(c1)C(=O)c1ccccc1-2,CC#N,432.0,568.0,1.8,0.0018,,DOI: 10.1039/c4cp01724b,2963
2963,COc1ccc2c(c1)C(=O)c1ccccc1-2,CCO,433.0,,,0.0,,DOI: 10.1039/c4cp01724b,2964
2964,COc1ccc2c(c1)-c1ccccc1C2=O,C1CCCCC1,365.0,472.0,5.3,0.0007,,DOI: 10.1039/c4cp01724b,2965
2965,COc1ccc2c(c1)-c1ccccc1C2=O,CC#N,379.0,510.0,14.0,0.034,,DOI: 10.1039/c4cp01724b,2966
2966,COc1ccc2c(c1)-c1ccccc1C2=O,CCO,387.0,549.0,1.1,0.002,,DOI: 10.1039/c4cp01724b,2967
2967,COc1cccc2c1-c1ccccc1C2=O,C1CCCCC1,420.0,518.0,10.7,0.034,,DOI: 10.1039/c4cp01724b,2968
2968,COc1cccc2c1-c1ccccc1C2=O,CC#N,432.0,568.0,1.8,0.0017,,DOI: 10.1039/c4cp01724b,2969
2969,COc1cccc2c1-c1ccccc1C2=O,CCO,432.0,,,0.0,,DOI: 10.1039/c4cp01724b,2970
2970,COc1ccc2c(c1)-c1cc(OC)ccc1C2=O,C1CCCCC1,361.0,490.0,1.8,0.0028,,DOI: 10.1039/c4cp01724b,2971
2971,COc1ccc2c(c1)-c1cc(OC)ccc1C2=O,CC#N,376.0,514.0,15.7,0.028,,DOI: 10.1039/c4cp01724b,2972
2972,COc1ccc2c(c1)-c1cc(OC)ccc1C2=O,CCO,382.0,552.0,0.8,0.002,,DOI: 10.1039/c4cp01724b,2973
2973,COc1cc(OC)c2c(c1)C(=O)c1ccccc1-2,C1CCCCC1,446.0,537.0,5.8,0.026,,DOI: 10.1039/c4cp01724b,2974
2974,COc1cc(OC)c2c(c1)C(=O)c1ccccc1-2,CC#N,455.0,592.0,0.9,0.0012,,DOI: 10.1039/c4cp01724b,2975
2975,COc1cc(OC)c2c(c1)C(=O)c1ccccc1-2,CCO,455.0,,,0.0,,DOI: 10.1039/c4cp01724b,2976
2976,COc1cc(OC)c2c(c1)C(=O)c1ccc(OC)cc1-2,C1CCCCC1,422.0,537.0,4.4,0.0095,,DOI: 10.1039/c4cp01724b,2977
2977,COc1cc(OC)c2c(c1)C(=O)c1ccc(OC)cc1-2,CC#N,441.0,578.0,1.2,0.0012,,DOI: 10.1039/c4cp01724b,2978
2978,COc1cc(OC)c2c(c1)C(=O)c1ccc(OC)cc1-2,CCO,442.0,,,0.0,,DOI: 10.1039/c4cp01724b,2979
2979,COc1ccc2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,C1CCCCC1,478.0,570.0,1.3,0.0024,,DOI: 10.1039/c4cp01724b,2980
2980,COc1ccc2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CC#N,491.0,628.0,0.6,0.0001,,DOI: 10.1039/c4cp01724b,2981
2981,COc1ccc2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CCO,492.0,,,0.0,,DOI: 10.1039/c4cp01724b,2982
2982,COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,C1CCCCC1,489.0,585.0,0.8,0.0008,,DOI: 10.1039/c4cp01724b,2983
2983,COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CC#N,504.0,,,0.0,,DOI: 10.1039/c4cp01724b,2984
2984,COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CCO,506.0,,,0.0,,DOI: 10.1039/c4cp01724b,2985
2985,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,C1CCCCC1,324.0,392.0,0.85,0.067,4.416640507,DOI: 10.1039/c6cp07720j,2986
2986,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,CC#N,326.0,420.0,2.72,0.38,4.392872745,DOI: 10.1039/c6cp07720j,2987
2987,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,CO,328.0,452.0,5.38,0.5,4.365862215,DOI: 10.1039/c6cp07720j,2988
2988,Cc1cc(C)c(C)c(-c2ccc3cc(C)c(=O)oc3c2)c1C,C1CCCCC1,312.0,383.0,0.84,0.0059,4.951823035,DOI: 10.1039/c6cp07720j,2989
2989,Cc1cc(C)c(C)c(-c2ccc3cc(C)c(=O)oc3c2)c1C,CC#N,314.0,388.0,1.07,0.0075,4.08278537,DOI: 10.1039/c6cp07720j,2990
2990,Cc1cc(C)c(C)c(-c2ccc3cc(C)c(=O)oc3c2)c1C,CO,315.0,394.0,1.43,0.014,4.180412633,DOI: 10.1039/c6cp07720j,2991
2991,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,c1ccccc1,324.0,398.0,,,,DOI: 10.1039/c6cp07720j,2992
2992,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,C1COCCO1,324.0,399.0,,,,DOI: 10.1039/c6cp07720j,2993
2993,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,CCOC(C)=O,325.0,403.0,,,,DOI: 10.1039/c6cp07720j,2994
2994,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,CN(C)C=O,326.0,417.0,,,,DOI: 10.1039/c6cp07720j,2995
2995,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O,CCO,328.0,442.0,,,,DOI: 10.1039/c6cp07720j,2996
2996,CCCCCCCCCCCCCCCCOc1cc(C#Cc2ccc3ccccc3c2)c(OCCCCCCCCCCCCCCCC)cc1C#Cc1ccc(C=C(C#N)C#N)cc1,C1CCCCC1,436.0,484.0,1.92,0.9,4.614686342,DOI: 10.1039/c6cp04293g,2997
2997,CCCCCCCCCCCCCCCCOc1cc(C#Cc2ccc3ccccc3c2)c(OCCCCCCCCCCCCCCCC)cc1C#Cc1ccc(C=C(C#N)C#N)cc1,CCCCCC,430.0,480.0,1.97,0.87,4.620531635,DOI: 10.1039/c6cp04293g,2998
2998,CCCCCCCCCCCCCCCCOc1cc(C#Cc2ccc3ccccc3c2)c(OCCCCCCCCCCCCCCCC)cc1C#Cc1ccc(C=C(C#N)C#N)cc1,ClC(Cl)(Cl)Cl,436.0,500.0,1.94,0.81,4.626371167,DOI: 10.1039/c6cp04293g,2999
